attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,outer_iterations,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,du_norm,dphi_norm,cutback_level,cutback_triggered,cutback_reason,min_increment_reached,restore_u_diff_norm,restore_phi_diff_norm,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,used_contact_tangent_uu,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,2,8,3.596741472147831e-18,2.85271299021229e-17,6.3487391347341025e-18,0.0,0.0,0,False,,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,0
2,1,False,2,0.04,0.04,0.04,0.0,0.04,False,4,36,0.040180726516924455,0.04018458705133489,0.049764465835481865,1.4908615186473226e-08,0.0,0,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,1
3,1,False,2,0.02,0.04,0.02,0.0,0.02,False,4,36,0.02004777630042749,0.020048674650069282,0.026286141161813492,1.2083248997113933e-09,0.0,1,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,1
4,1,False,2,0.01,0.04,0.01,0.0,0.01,False,4,36,0.010012260444155296,0.010012476758415302,0.013511353799725116,8.526416500958731e-11,0.0,2,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,1
5,2,True,2,0.005,0.04,0.005,0.0,0.005,True,4,36,0.005003104139495132,0.005003157186615121,0.006849532512363079,5.6511934476213366e-12,0.0,3,False,,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,1
6,3,True,2,0.01,0.04,0.01,0.005,0.005,True,4,36,0.010012260444242724,0.010012476758505544,0.013511353799959037,4.2122404244589963e-11,0.0,2,False,,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,2
7,3,False,2,0.02,0.04,0.02,0.01,0.01,False,4,36,0.020047776302869542,0.02004867465259716,0.026286141168071674,5.891524501624044e-10,0.0,1,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,3
8,3,False,2,0.015,0.04,0.015,0.01,0.004999999999999999,False,4,36,0.015027231622084771,0.015027727626274506,0.01998893033328749,1.321925369727553e-10,0.0,2,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,3
9,4,True,2,0.0125,0.04,0.0125,0.01,0.0025000000000000005,True,4,36,0.01251903416542291,0.012519375383111733,0.01677294012395761,3.942972894549527e-11,0.0,3,False,,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,3
10,4,False,2,0.015,0.04,0.015,0.0125,0.0024999999999999988,False,4,36,0.015027231622284306,0.015027727626480676,0.019988930333809933,6.567704360985845e-11,0.0,2,True,Reached max_outer_iter without satisfying convergence tolerances,False,0.0,0.0,True,Reached max_outer_iter without satisfying convergence tolerances,0.12,0.02,False,False,4
