label,mesh_resolution,block_pc_name,phi_cache_prime_enabled,phi_scatter_reuse,phi_profile_mode,phi_block_assembly_time,newton_step_walltime,phi_form_time_K_phi_u,phi_form_time_K_phi_phi,phi_convert_time_K_phi_u,phi_convert_time_K_phi_phi,ksp_setup_time,ksp_solve_time,total_linear_iterations
4x4_current_full,4x4x4,global_ilu,True,True,full,1.167623361999631,2.3909066839992192,0.8439984959995854,0.25338267500001166,0.0012963760004822689,0.003512646000217501,0.0002443840003252262,0.40617954400022427,6
4x4_no_prime,4x4x4,global_ilu,False,True,full,1.1953698069992242,2.428440553999735,0.8701154680002219,0.2539566609998474,0.001544919000025402,0.0038953110001784808,0.00024564800014559296,0.40506147600035547,6
4x4_no_scatter,4x4x4,global_ilu,True,False,full,1.1947037269992506,2.4337528060004843,0.859624187999998,0.26184588799833364,0.0019478290000733978,0.005007331000342674,0.00022879499920236412,0.4055685909993372,6
4x4_light_profile,4x4x4,global_ilu,True,True,light,1.162256227999933,2.361115565000091,0.0,0.0,0.0,0.0,0.00022506799950861023,0.3958784540000124,6
5x5_current_full,5x5x5,global_ilu,True,True,full,0.33196181899984367,1.0047773200003576,0.22039267499940252,0.07253824900044492,0.005445229000088148,0.011453111999799148,8.45170002321538e-05,0.36705426899970917,1
5x5_no_prime,5x5x5,global_ilu,False,True,full,0.3340163859998029,1.0437699799999791,0.22004263700000593,0.0684986320002281,0.005069227000149112,0.011680347000037727,9.679000004325644e-05,0.3931640719997631,1
5x5_no_scatter,5x5x5,global_ilu,True,False,full,0.35369512100032807,1.038769542999944,0.2323981930003356,0.07941654100022788,0.005720079999719019,0.01174220199982301,0.0026934499996968952,0.3751066710001396,1
5x5_light_profile,5x5x5,global_ilu,True,True,light,0.3244921760001489,1.0023189859998638,0.0,0.0,0.0,0.0,0.00010022600008596783,0.36267157199972644,1
4x4_schur_light,4x4x4,fieldsplit_schur_lower_selfp_ilu,True,True,light,1.1585442079999666,3.656171426999663,0.0,0.0,0.0,0.0,1.4590498200004731,0.2040844759999345,13
5x5_schur_light,5x5x5,fieldsplit_schur_lower_selfp_ilu,True,True,light,0.3369711609998376,2.179507416999968,0.0,0.0,0.0,0.0,1.3697651779998523,0.1698713470000257,2
